category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Groceries,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Group Buying,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Group SMS,0,0,0,0,0,0,1,0,0,Others
Guides,0,0,0,0,0,0,0,1,0,Manufacturing
Handmade,0,0,0,0,0,1,0,0,0,Manufacturing
Hardware,0,0,0,0,0,1,0,0,0,Manufacturing
Hardware + Software,0,0,0,0,0,1,0,0,0,Health
Health and Insurance,0,0,0,0,1,0,0,0,0,Health
Health and Wellness,0,0,0,0,1,0,0,0,0,Health
Health Care,0,0,0,0,1,0,0,0,0,Health
Health Care Information Technology,0,0,0,0,1,0,0,0,0,Health
Health Diagnostics,0,0,0,0,1,0,0,0,0,Health
Health Services Industry,0,0,0,0,1,0,0,0,0,Health
Healthcare Services,0,0,0,0,1,0,0,0,0,Automotive & Sports
Heavy Industry,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Hedge Funds,0,0,0,0,0,0,0,0,1,Others
High School Students,0,0,0,0,0,0,0,1,0,Others
High Schools,0,0,0,0,0,0,0,1,0,Others
High Tech,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Home & Garden,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Home Automation,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Home Decor,0,0,1,0,0,0,0,0,0,Others
Home Owners,0,0,0,0,0,0,0,1,0,Others
Home Renovation,0,0,0,0,0,0,0,1,0,Others
Homeland Security,0,0,0,0,0,0,0,1,0,Others
Homeless Shelter,0,0,0,0,0,0,0,1,0,Others
Hospitality,0,0,0,0,0,0,0,1,0,Health
Hospitals,0,0,0,0,1,0,0,0,0,Entertainment
Hotels,0,0,0,1,0,0,0,0,0,Others
Human Computer Interaction,0,0,0,0,0,0,0,1,0,Others
Human Resource Automation,0,0,0,0,0,0,0,1,0,Others
Human Resources,0,0,0,0,0,0,0,1,0,Others
Humanitarian,0,0,0,0,0,0,0,1,0,Others
IaaS,0,0,0,0,0,0,0,1,0,Others
ICT,0,0,0,0,0,0,0,1,0,Others
Identity,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Identity Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Image Recognition,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Impact Investing,0,0,0,0,0,0,0,0,1,Entertainment
In-Flight Entertainment,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Incentives,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Incubators,0,0,0,0,0,0,0,0,1,Entertainment
Independent Music Labels,0,0,0,1,0,0,0,0,0,Health
Independent Pharmacies,0,0,0,0,1,0,0,0,0,Others
Indians,0,0,0,0,0,0,0,1,0,Others
Indoor Positioning,0,0,0,0,0,0,0,1,0,Manufacturing
Industrial,0,0,0,0,0,1,0,0,0,Automotive & Sports
Industrial Automation,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Information Security,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Information Services,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Information Technology,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Infrastructure,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Innovation Engineering,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Innovation Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Insurance,0,0,0,0,0,0,0,0,1,Others
Intellectual Asset Ma0gement,0,0,0,0,0,0,0,1,0,Others
Intellectual Property,0,0,0,0,0,0,0,1,0,Others
Intelligent Systems,0,0,0,0,0,0,0,1,0,Others
Interest Graph,0,0,0,0,0,0,0,1,0,Entertainment
Interface Design,0,0,0,1,0,0,0,0,0,Entertainment
Interior Design,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Internet,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Internet Infrastructure,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Internet Marketing,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Internet of Things,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Internet Radio Market,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Internet Service Providers,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Investment Ma0gement,0,0,0,0,0,0,0,0,1,Others
iOS,0,0,0,0,0,0,0,1,0,Others
